year,co2_total_megatonne,co2_kilogram_for_one_thousand_dollars,co2_per_capita
2021.0,12466.316,0.5,8.73
2020.0,11948.12,0.52,8.39
2019.0,11771.073,0.52,8.29
2018.0,11499.292,0.54,8.13
2017.0,11036.735,0.55,7.83
2016.0,10794.286,0.58,7.69
2015.0,10771.817,0.62,7.71
2014.0,10898.414,0.67,7.84
2013.0,10780.586,0.71,7.8
2012.0,10484.577,0.75,7.62
2011.0,10155.481,0.78,7.43
2010.0,9294.361,0.78,6.84
2009.0,8489.959,0.79,6.28
2008.0,7889.191,0.8,5.87
2007.0,7673.68,0.86,5.74
2006.0,7040.388,0.9,5.3
2005.0,6338.438,0.91,4.8
2004.0,5599.967,0.9,4.26
2003.0,4852.912,0.86,3.71
2002.0,4183.178,0.81,3.22
2001.0,3878.315,0.82,3.0
2000.0,3703.34,0.85,2.89
1999.0,3478.417,0.87,2.73
1998.0,3547.653,0.95,2.8
1997.0,3465.449,1.0,2.75
1996.0,3387.353,1.07,2.71
1995.0,3415.472,1.19,2.75
1994.0,3100.785,1.19,2.52
1993.0,2919.981,1.27,2.4
1992.0,2695.412,1.34,2.24
1991.0,2561.806,1.45,2.15
1990.0,2425.644,1.5,2.07
1989.0,2383.709,,2.07
1988.0,2303.334,,2.03
1987.0,2140.834,,1.93
1986.0,2000.384,,1.83
1985.0,1882.68,,1.76
1984.0,1867.308,,1.77
1983.0,1711.645,,1.65
1982.0,1625.563,,1.59
1981.0,1554.453,,1.54
1980.0,1568.085,,1.58
1979.0,1601.51,,1.63
1978.0,1562.863,,1.62
1977.0,1385.312,,1.46
1976.0,1232.037,,1.31
1975.0,1184.682,,1.29
1974.0,1033.255,,1.14
1973.0,1015.382,,1.15
1972.0,974.699,,1.13
1971.0,913.439,,1.08
1970.0,909.573,,1.1
